Date,SPY - Close,SPY - Volume,US New Daily Cases,US New Daily Deaths,US New Daily Tests,China New Daily Cases,China New Daily Deaths,US Unemployment Rate (%),US Quarterly GDP,Sitting President,Senate Majority Party,VIX - Open,VIX - Close,Season
9/25/13,169.039993,117306500,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.24,14.01,Fall
9/26/13,169.690002,77146900,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,13.8,14.06,Fall
9/27/13,168.910004,99141800,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.62,15.46,Fall
9/30/13,168.009995,143937000,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,17.49,16.6,Fall
10/1/13,169.339996,127160000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,16.309999,15.54,Fall
10/2/13,169.179993,113350000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,16.4,16.6,Fall
10/3/13,167.619995,176698000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,16.629999,17.67,Fall
10/4/13,168.889999,96878000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,17.719999,16.74,Fall
10/7/13,167.429993,96295000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,18.76,19.41,Fall
10/8/13,165.479996,178015000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,19.01,20.34,Fall
10/9/13,165.600006,168973000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,20.190001,19.6,Fall
10/10/13,169.169998,195955000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,17.66,16.48,Fall
10/11/13,170.259995,105040000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,16.309999,15.72,Fall
10/14/13,170.940002,112106000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,17.08,16.07,Fall
10/15/13,169.699997,155485000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,16.41,18.66,Fall
10/16/13,172.070007,161676000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,17.139999,14.71,Fall
10/17/13,173.220001,129389000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,14.52,13.48,Fall
10/18/13,174.389999,138316000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,12.86,13.04,Fall
10/21/13,174.399994,104104000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.34,13.16,Fall
10/22/13,175.410004,126663000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,12.99,13.33,Fall
10/23/13,174.570007,105484000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.71,13.42,Fall
10/24/13,175.149994,70350000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.5,13.2,Fall
10/25/13,175.949997,93625000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.16,13.09,Fall
10/28/13,176.229996,84979000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.62,13.31,Fall
10/29/13,177.169998,87401000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.25,13.41,Fall
10/30/13,176.289993,140002000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.72,13.65,Fall
10/31/13,175.789993,133795000,0,0,0,0,0,7.2,17083.137,Barack Obama,Democrat,13.83,13.75,Fall
11/1/13,176.210007,142805000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.46,13.28,Fall
11/4/13,176.830002,85677000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.35,12.93,Fall
11/5/13,176.270004,85825000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.22,13.27,Fall
11/6/13,177.169998,87348000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.01,12.67,Fall
11/7/13,174.929993,157000000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.99,13.91,Fall
11/8/13,177.289993,136713000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.76,12.9,Fall
11/11/13,177.320007,62614000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.85,12.53,Fall
11/12/13,176.960007,83990000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.8,12.82,Fall
11/13/13,178.380005,103844000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.35,12.52,Fall
11/14/13,179.270004,103435000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.8,12.37,Fall
11/15/13,180.050003,102818000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.12,12.19,Fall
11/18/13,179.419998,104796000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.41,13.1,Fall
11/19/13,179.029999,93891000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.03,13.39,Fall
11/20/13,178.470001,124909000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.56,13.4,Fall
11/21/13,179.910004,92841000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.09,12.66,Fall
11/22/13,180.809998,81296000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.69,12.26,Fall
11/25/13,180.630005,79486000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.55,12.79,Fall
11/26/13,180.679993,86994000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.84,12.81,Fall
11/27/13,181.119995,58800000,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,12.81,12.98,Fall
11/29/13,181,55870900,0,0,0,0,0,6.9,17083.137,Barack Obama,Democrat,13.06,13.7,Fall
12/2/13,180.529999,99726000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.91,14.23,Fall
12/3/13,179.75,116563000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,14.74,14.55,Fall
12/4/13,179.729996,123033000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,15.03,14.7,Fall
12/5/13,178.940002,106934000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,14.82,15.08,Fall
12/6/13,180.940002,127728000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.97,13.79,Fall
12/9/13,181.399994,70124000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.97,13.49,Fall
12/10/13,180.75,80976000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,14.14,13.91,Fall
12/11/13,178.720001,130591000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.98,15.42,Fall
12/12/13,178.130005,115565000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,15.44,15.54,Fall
12/13/13,178.110001,107808000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,15.17,15.76,Fall
12/16/13,179.220001,96195000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,15.64,16.030001,Fall
12/17/13,178.649994,89886000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,16.040001,16.209999,Fall
12/18/13,181.699997,234906000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,15.95,13.8,Fall
12/19/13,181.490005,136531200,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.59,14.15,Fall
12/20/13,181.559998,197087000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.61,13.79,Fall
12/23/13,182.529999,85598000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.37,13.04,Fall
12/24/13,182.929993,45368800,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,12.85,12.48,Fall
12/26/13,183.860001,63365000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,12.48,12.33,Fall
12/27/13,183.850006,61814000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,12.21,12.46,Fall
12/30/13,183.820007,56857000,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,12.87,13.56,Fall
12/31/13,184.690002,86119900,0,0,0,0,0,6.7,17083.137,Barack Obama,Democrat,13.43,13.72,Fall
1/2/14,182.919998,119636900,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,14.32,14.23,Fall
1/3/14,182.889999,81390600,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,14.06,13.76,Fall
1/6/14,182.360001,108028200,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,13.41,13.55,Fall
1/7/14,183.479996,86144200,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.38,12.92,Fall
1/8/14,183.520004,96582300,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,13.04,12.87,Fall
1/9/14,183.639999,90683400,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.83,12.89,Fall
1/10/14,184.139999,102026400,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.6,12.14,Fall
1/13/14,181.690002,149892000,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.18,13.28,Fall
1/14/14,183.669998,105016100,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.89,12.28,Fall
1/15/14,184.660004,98525800,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.15,12.28,Fall
1/16/14,184.419998,72290600,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.32,12.53,Fall
1/17/14,183.639999,107848700,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.34,12.44,Fall
1/21/14,184.179993,88621200,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.63,12.87,Fall
1/22/14,184.300003,61270900,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,12.57,12.84,Fall
1/23/14,182.789993,132496900,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,13.67,13.77,Fall
1/24/14,178.889999,208677100,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,14.95,18.139999,Winter
1/27/14,178.009995,180843100,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,17.290001,17.42,Winter
1/28/14,179.070007,110463200,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,17.27,15.8,Winter
1/29/14,177.350006,216597300,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,17.950001,17.35,Winter
1/30/14,179.229996,118938100,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,16.370001,17.290001,Winter
1/31/14,178.179993,194677900,0,0,0,0,0,6.6,17104.555,Barack Obama,Democrat,18.709999,18.41,Winter
2/3/14,174.169998,254837100,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,18.57,21.440001,Winter
2/4/14,175.389999,165012400,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,19.99,19.110001,Winter
2/5/14,175.169998,164230500,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,19.59,19.950001,Winter
2/6/14,177.479996,132877600,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,19.09,17.23,Winter
2/7/14,179.679993,170787200,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,16.15,15.29,Winter
2/10/14,180.009995,92218800,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.63,15.26,Winter
2/11/14,181.979996,117814100,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.29,14.51,Winter
